item	level	effect	duration_ticks	amplifier	probability
kaleidoscope_tavern:glowflower_brew	4	kaleidoscope_tavern:vision	3600	1	1.0
kaleidoscope_tavern:glowflower_brew	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:glowflower_brew	5	kaleidoscope_tavern:vision	7200	1	1.0
kaleidoscope_tavern:glowflower_brew	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:glowflower_brew	6	kaleidoscope_tavern:vision	14400	2	1.0
kaleidoscope_tavern:godfather	1	kaleidoscope_tavern:zenith	0	0	1.0
kaleidoscope_tavern:grasshopper	1	kaleidoscope_tavern:grass_stealth	18000	0	1.0
kaleidoscope_tavern:honey_wine	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:honey_wine	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:honey_wine	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:honey_wine	3	minecraft:resistance	1600	0	1.0
kaleidoscope_tavern:honey_wine	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:honey_wine	4	minecraft:resistance	4800	0	1.0
kaleidoscope_tavern:honey_wine	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:honey_wine	5	minecraft:resistance	4800	1	1.0
kaleidoscope_tavern:honey_wine	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:honey_wine	6	minecraft:resistance	10800	1	1.0
kaleidoscope_tavern:ice_wine	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:ice_wine	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:ice_wine	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:ice_wine	3	minecraft:fire_resistance	1600	0	1.0
kaleidoscope_tavern:ice_wine	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:ice_wine	4	minecraft:fire_resistance	4800	0	1.0
kaleidoscope_tavern:ice_wine	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:ice_wine	5	minecraft:fire_resistance	14400	0	1.0
kaleidoscope_tavern:ice_wine	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:ice_wine	6	minecraft:fire_resistance	43200	0	1.0
kaleidoscope_tavern:luminous_bride	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:luminous_bride	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:luminous_bride	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:luminous_bride	3	minecraft:night_vision	1600	0	1.0
kaleidoscope_tavern:luminous_bride	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:luminous_bride	4	minecraft:night_vision	4800	0	1.0
kaleidoscope_tavern:luminous_bride	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:luminous_bride	5	minecraft:night_vision	14400	0	1.0
kaleidoscope_tavern:luminous_bride	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:luminous_bride	6	minecraft:night_vision	43200	0	1.0
kaleidoscope_tavern:madame_shexiang	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:madame_shexiang	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:madame_shexiang	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:madame_shexiang	3	minecraft:resistance	1600	0	1.0
kaleidoscope_tavern:madame_shexiang	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:madame_shexiang	4	minecraft:resistance	4800	0	1.0
kaleidoscope_tavern:madame_shexiang	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:madame_shexiang	5	minecraft:resistance	4800	1	1.0
kaleidoscope_tavern:madame_shexiang	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:madame_shexiang	6	minecraft:resistance	10800	1	1.0
kaleidoscope_tavern:miners_star	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:miners_star	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:miners_star	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:miners_star	3	minecraft:haste	1600	0	1.0
kaleidoscope_tavern:miners_star	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:miners_star	4	minecraft:haste	4800	0	1.0
kaleidoscope_tavern:miners_star	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:miners_star	5	minecraft:haste	4800	1	1.0
kaleidoscope_tavern:miners_star	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:miners_star	6	minecraft:haste	14400	1	1.0
kaleidoscope_tavern:mojito	1	kaleidoscope_tavern:vision	36000	0	1.0
kaleidoscope_tavern:mother_snow	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:mother_snow	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:mother_snow	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:mother_snow	3	minecraft:fire_resistance	1600	0	1.0
kaleidoscope_tavern:mother_snow	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:mother_snow	4	minecraft:fire_resistance	4800	0	1.0
kaleidoscope_tavern:mother_snow	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:mother_snow	5	minecraft:fire_resistance	14400	0	1.0
kaleidoscope_tavern:mother_snow	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:mother_snow	6	minecraft:fire_resistance	43200	0	1.0
kaleidoscope_tavern:mystery_cocktail	1	kaleidoscope_tavern:slightly_tipsy	3600	0	1.0
kaleidoscope_tavern:nether_special	1	kaleidoscope_tavern:tomb_raider	1800	0	1.0
kaleidoscope_tavern:plum_wine	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:plum_wine	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:plum_wine	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:plum_wine	3	minecraft:water_breathing	1600	0	1.0
kaleidoscope_tavern:plum_wine	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:plum_wine	4	minecraft:water_breathing	4800	0	1.0
kaleidoscope_tavern:plum_wine	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:plum_wine	5	minecraft:water_breathing	14400	0	1.0
kaleidoscope_tavern:plum_wine	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:plum_wine	6	minecraft:water_breathing	43200	0	1.0
kaleidoscope_tavern:polaris_sweet_white	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:polaris_sweet_white	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:polaris_sweet_white	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:polaris_sweet_white	3	minecraft:fire_resistance	1600	0	1.0
kaleidoscope_tavern:polaris_sweet_white	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:polaris_sweet_white	4	minecraft:fire_resistance	4800	0	1.0
kaleidoscope_tavern:polaris_sweet_white	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:polaris_sweet_white	5	minecraft:fire_resistance	14400	0	1.0
kaleidoscope_tavern:polaris_sweet_white	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:polaris_sweet_white	6	minecraft:fire_resistance	43200	0	1.0
kaleidoscope_tavern:red_queen	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:red_queen	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:red_queen	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:red_queen	3	kaleidoscope_tavern:bloody_mary	800	0	1.0
kaleidoscope_tavern:red_queen	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:red_queen	4	kaleidoscope_tavern:bloody_mary	2400	0	1.0
kaleidoscope_tavern:red_queen	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:red_queen	5	kaleidoscope_tavern:bloody_mary	4800	0	1.0
kaleidoscope_tavern:red_queen	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:red_queen	6	kaleidoscope_tavern:bloody_mary	9600	0	1.0
kaleidoscope_tavern:riesling_dry_white	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:riesling_dry_white	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:riesling_dry_white	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:riesling_dry_white	3	kaleidoscope_tavern:grass_stealth	1600	0	1.0
kaleidoscope_tavern:riesling_dry_white	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:riesling_dry_white	4	kaleidoscope_tavern:grass_stealth	3200	0	1.0
kaleidoscope_tavern:riesling_dry_white	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:riesling_dry_white	5	kaleidoscope_tavern:grass_stealth	4800	0	1.0
kaleidoscope_tavern:riesling_dry_white	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:riesling_dry_white	6	kaleidoscope_tavern:grass_stealth	9600	0	1.0
kaleidoscope_tavern:rum	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:rum	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:rum	2	minecraft:bad_omen	24000	0	1.0
kaleidoscope_tavern:rum	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:rum	3	minecraft:bad_omen	24000	1	1.0
kaleidoscope_tavern:rum	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:rum	4	minecraft:bad_omen	24000	2	1.0
kaleidoscope_tavern:rum	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:rum	5	minecraft:bad_omen	24000	3	1.0
kaleidoscope_tavern:rum	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:rum	6	minecraft:bad_omen	24000	4	1.0
kaleidoscope_tavern:sakura_wine	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:sakura_wine	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:sakura_wine	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sakura_wine	3	minecraft:regeneration	1600	0	1.0
kaleidoscope_tavern:sakura_wine	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sakura_wine	4	minecraft:regeneration	4800	0	1.0
kaleidoscope_tavern:sakura_wine	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:sakura_wine	5	minecraft:regeneration	4800	1	1.0
kaleidoscope_tavern:sakura_wine	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:sakura_wine	6	minecraft:regeneration	10800	1	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	3	kaleidoscope_tavern:grass_stealth	1600	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	4	kaleidoscope_tavern:grass_stealth	3200	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	5	kaleidoscope_tavern:grass_stealth	4800	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:sauvignon_blanc_dry_white	6	kaleidoscope_tavern:grass_stealth	9600	0	1.0
kaleidoscope_tavern:screwdriver	1	kaleidoscope_tavern:upside_down	0	0	1.0
kaleidoscope_tavern:sculk_special	1	kaleidoscope_tavern:shriek_attack	0	0	1.0
kaleidoscope_tavern:sherry	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:sherry	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:sherry	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sherry	3	minecraft:fire_resistance	1600	0	1.0
kaleidoscope_tavern:sherry	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sherry	4	minecraft:fire_resistance	4800	0	1.0
kaleidoscope_tavern:sherry	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:sherry	5	minecraft:fire_resistance	14400	0	1.0
kaleidoscope_tavern:sherry	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:sherry	6	minecraft:fire_resistance	43200	0	1.0
kaleidoscope_tavern:sunset_glow	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:sunset_glow	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:sunset_glow	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sunset_glow	3	minecraft:resistance	1600	0	1.0
kaleidoscope_tavern:sunset_glow	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sunset_glow	4	minecraft:resistance	4800	0	1.0
kaleidoscope_tavern:sunset_glow	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:sunset_glow	5	minecraft:resistance	4800	1	1.0
kaleidoscope_tavern:sunset_glow	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:sunset_glow	6	minecraft:resistance	10800	1	1.0
kaleidoscope_tavern:sweet_berry_wine	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:sweet_berry_wine	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:sweet_berry_wine	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sweet_berry_wine	3	kaleidoscope_tavern:bloody_mary	800	0	1.0
kaleidoscope_tavern:sweet_berry_wine	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:sweet_berry_wine	4	kaleidoscope_tavern:bloody_mary	2400	0	1.0
kaleidoscope_tavern:sweet_berry_wine	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:sweet_berry_wine	5	kaleidoscope_tavern:bloody_mary	4800	0	1.0
kaleidoscope_tavern:sweet_berry_wine	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:sweet_berry_wine	6	kaleidoscope_tavern:bloody_mary	9600	0	1.0
kaleidoscope_tavern:vinegar	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:vinegar	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:vinegar	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:vinegar	3	minecraft:blindness	200	0	0.15
kaleidoscope_tavern:vinegar	3	minecraft:mining_fatigue	200	0	0.15
kaleidoscope_tavern:vinegar	3	minecraft:speed	200	0	0.15
kaleidoscope_tavern:vinegar	3	minecraft:jump_boost	200	0	0.15
kaleidoscope_tavern:vinegar	3	minecraft:haste	200	0	0.15
kaleidoscope_tavern:vinegar	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:vinegar	4	minecraft:blindness	600	1	0.15
kaleidoscope_tavern:vinegar	4	minecraft:mining_fatigue	600	1	0.15
kaleidoscope_tavern:vinegar	4	minecraft:speed	600	1	0.15
kaleidoscope_tavern:vinegar	4	minecraft:jump_boost	600	1	0.15
kaleidoscope_tavern:vinegar	4	minecraft:haste	600	1	0.15
kaleidoscope_tavern:vinegar	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:vinegar	5	minecraft:blindness	1200	2	0.15
kaleidoscope_tavern:vinegar	5	minecraft:mining_fatigue	1200	2	0.15
kaleidoscope_tavern:vinegar	5	minecraft:speed	1200	2	0.15
kaleidoscope_tavern:vinegar	5	minecraft:jump_boost	1200	2	0.15
kaleidoscope_tavern:vinegar	5	minecraft:haste	1200	2	0.15
kaleidoscope_tavern:vinegar	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:vinegar	6	minecraft:blindness	2000	2	0.15
kaleidoscope_tavern:vinegar	6	minecraft:mining_fatigue	2000	2	0.15
kaleidoscope_tavern:vinegar	6	minecraft:speed	2000	2	0.15
kaleidoscope_tavern:vinegar	6	minecraft:jump_boost	2000	2	0.15
kaleidoscope_tavern:vinegar	6	minecraft:haste	2000	2	0.15
kaleidoscope_tavern:vodka	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:vodka	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:vodka	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:vodka	3	minecraft:strength	1600	0	1.0
kaleidoscope_tavern:vodka	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:vodka	4	minecraft:strength	4800	0	1.0
kaleidoscope_tavern:vodka	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:vodka	5	minecraft:strength	4800	1	1.0
kaleidoscope_tavern:vodka	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:vodka	6	minecraft:strength	10800	1	1.0
kaleidoscope_tavern:whiskey	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:whiskey	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:whiskey	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:whiskey	3	minecraft:strength	1600	0	1.0
kaleidoscope_tavern:whiskey	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:whiskey	4	minecraft:strength	4800	0	1.0
kaleidoscope_tavern:whiskey	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:whiskey	5	minecraft:strength	4800	1	1.0
kaleidoscope_tavern:whiskey	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:whiskey	6	minecraft:strength	10800	1	1.0
kaleidoscope_tavern:white_lady	1	kaleidoscope_tavern:high_heels	72000	0	1.0
kaleidoscope_tavern:wine	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:wine	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:wine	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:wine	3	minecraft:regeneration	1600	0	1.0
kaleidoscope_tavern:wine	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:wine	4	minecraft:regeneration	4800	0	1.0
kaleidoscope_tavern:wine	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:wine	5	minecraft:regeneration	4800	1	1.0
kaleidoscope_tavern:wine	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:wine	6	minecraft:regeneration	10800	1	1.0
