registry	tag	member
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:large_fern
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:dead_bush
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:nether_sprouts
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:crimson_roots
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:warped_roots
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:lilac
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:rose_bush
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:peony
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:pitcher_plant
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:sugar_cane
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:sweet_berry_bush
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:sunflower
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:ysbb_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:tartaric_acid_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:cr019_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:unknown_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:master_marisa_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:son_of_man_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:david_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:girl_with_pearl_earring_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:starry_night_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:van_gogh_self_portrait_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:father_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:great_wave_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:mona_lisa_painting
block	kaleidoscope_tavern:painting	kaleidoscope_tavern:mondrian_painting
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:base_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:grass_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:allium_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:azure_bluet_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:cornflower_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:orchid_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:peony_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:pink_petals_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:pitcher_plant_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:poppy_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:sunflower_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:torchflower_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:tulip_sandwich_board
block	kaleidoscope_tavern:sandwich_board	kaleidoscope_tavern:wither_rose_sandwich_board
block	kaleidoscope_tavern:sittable	#kaleidoscope_tavern:sofa
block	kaleidoscope_tavern:sittable	#kaleidoscope_tavern:bar_stool
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:white_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:light_gray_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:gray_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:black_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:brown_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:red_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:orange_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:yellow_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:lime_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:green_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:cyan_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:light_blue_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:blue_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:purple_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:magenta_sofa
block	kaleidoscope_tavern:sofa	kaleidoscope_tavern:pink_sofa
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_colorless
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_white
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_light_gray
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_gray
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_black
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_brown
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_red
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_orange
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_yellow
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_lime
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_green
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_cyan
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_light_blue
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_blue
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_purple
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_magenta
block	kaleidoscope_tavern:string_lights	kaleidoscope_tavern:string_lights_pink
block	minecraft:climbable	kaleidoscope_tavern:wild_grapevine
block	minecraft:climbable	kaleidoscope_tavern:wild_grapevine_plant
block	minecraft:climbable	kaleidoscope_tavern:grapevine_trellis
block	minecraft:mineable/axe	#kaleidoscope_tavern:sandwich_board
block	minecraft:mineable/axe	#kaleidoscope_tavern:painting
block	minecraft:mineable/axe	kaleidoscope_tavern:chalkboard
block	minecraft:mineable/axe	kaleidoscope_tavern:table
block	minecraft:mineable/axe	kaleidoscope_tavern:bar_counter
block	minecraft:mineable/axe	kaleidoscope_tavern:stepladder
block	minecraft:mineable/axe	kaleidoscope_tavern:trellis
block	minecraft:mineable/axe	kaleidoscope_tavern:grapevine_trellis
block	minecraft:mineable/axe	kaleidoscope_tavern:pressing_tub
block	minecraft:mineable/axe	kaleidoscope_tavern:barrel
block	minecraft:mineable/axe	kaleidoscope_tavern:bar_cabinet
block	minecraft:mineable/axe	kaleidoscope_tavern:glass_bar_cabinet
block	minecraft:mineable/axe	kaleidoscope_tavern:cellar_cabinet
block	minecraft:mineable/pickaxe	#kaleidoscope_tavern:sofa
block	minecraft:mineable/pickaxe	#kaleidoscope_tavern:bar_stool
block	minecraft:mineable/pickaxe	#kaleidoscope_tavern:string_lights
block	minecraft:mineable/pickaxe	kaleidoscope_tavern:tap
block	minecraft:mineable/pickaxe	kaleidoscope_tavern:tilted_rack
block	minecraft:mineable/pickaxe	kaleidoscope_tavern:circular_rack
block	minecraft:mineable/pickaxe	kaleidoscope_tavern:holder
block	minecraft:mineable/pickaxe	kaleidoscope_tavern:glassware_holder
block	sereneseasons:autumn_crops	kaleidoscope_tavern:grape_crop
block	sereneseasons:spring_crops	kaleidoscope_tavern:grapevine_trellis
block	sereneseasons:summer_crops	kaleidoscope_tavern:grapevine_trellis
block	sereneseasons:summer_crops	kaleidoscope_tavern:gold_grapevine_trellis
block	sereneseasons:summer_crops	kaleidoscope_tavern:grape_crop
block	sereneseasons:summer_crops	kaleidoscope_tavern:gold_grape_crop
block	sereneseasons:winter_crops	kaleidoscope_tavern:ice_grapevine_trellis
block	sereneseasons:winter_crops	kaleidoscope_tavern:ice_grape_crop
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	#minecraft:skeletons
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:zombie
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:zombie_villager
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:drowned
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:husk
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:piglin
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:piglin_brute
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:zombified_piglin
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:vindicator
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:pillager
entity_type	kaleidoscope_tavern:tomb_raider_disarmable	minecraft:witch
