tag	item
kaleidoscope_tavern:cocktail_ingredient_light_purple	kaleidoscope_tavern:champagne
kaleidoscope_tavern:cocktail_ingredient_light_purple	kaleidoscope_tavern:sakura_wine
kaleidoscope_tavern:cocktail_ingredient_light_purple	kaleidoscope_tavern:brandy
kaleidoscope_tavern:cocktail_ingredient_light_purple	kaleidoscope_tavern:carignan
kaleidoscope_tavern:cocktail_ingredient_red	kaleidoscope_tavern:plum_wine
kaleidoscope_tavern:cocktail_ingredient_red	kaleidoscope_tavern:sweet_berry_wine
kaleidoscope_tavern:cocktail_ingredient_red	kaleidoscope_tavern:red_queen
kaleidoscope_tavern:cocktail_ingredient_white	kaleidoscope_tavern:vodka
kaleidoscope_tavern:cocktail_ingredient_white	kaleidoscope_tavern:whiskey
kaleidoscope_tavern:cocktail_ingredient_white	kaleidoscope_tavern:rum
kaleidoscope_tavern:cocktail_ingredient_white	minecraft:potion
kaleidoscope_tavern:cocktail_ingredient_yellow	kaleidoscope_tavern:luminous_bride
kaleidoscope_tavern:cocktail_ingredient_yellow	kaleidoscope_tavern:glowflower_brew
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:brandy
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:carignan
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:mother_snow
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:miners_star
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:madame_shexiang
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:sunset_glow
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:riesling_dry_white
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:sweet_berry_wine
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:vodka
kaleidoscope_tavern:holder_blocklist	kaleidoscope_tavern:rum
kaleidoscope_tavern:tilted_rack_blocklist	kaleidoscope_tavern:brandy
kaleidoscope_tavern:tilted_rack_blocklist	kaleidoscope_tavern:carignan
